9,1,10.2,11.2,21.4,32.6,54,86.6,140.6,227.2
10.8,2,20.4,22.4,42.8,65.2,108,173.2,281.2,454.4
21.6,4,40.8,44.8,85.6,130.4,216,346.4,562.4,908.8
43.2,8,81.6,89.6,171.2,260.8,432,692.8,1124.8,1817.6
86.4,16,163.2,179.2,342.4,521.6,864,1385.6,2249.6,3635.2
172.8,32,326.4,358.4,684.8,1043.2,1728,2771.2,4499.2,7270.4
345.6,64,652.8,716.8,1369.6,2086.4,3456,5542.4,8998.4,14540.8
691.2,128,1305.6,1433.6,2739.2,4172.8,6912,11084.8,17996.8,29081.6
1382.4,256,2611.2,2867.2,5478.4,8345.6,13824,22169.6,35993.6,58163.2
2764.8,512,5222.4,5734.4,10956.8,16691.2,27648,44339.2,71987.2,116326.4
